name,tailpipe_co2
Porsche Taycan Coupe (2024-2025),0
Porsche Taycan Cross Tourismo 4S Hatch (2024-2025),0
Porsche Taycan 4 Coupe (2024-2025),0
Porsche Taycan Performance Battery Coupe (2024-2025),0
Porsche Taycan 4 Performance Battery Coupe (2024-2025),0
Porsche Taycan Turbo Coupe (2024-2025),0
MINI Aceman E Sedan Sedan (2024-2025),0
MINI Aceman SE Sedan Sedan (2024-2025),0
Mercedes-Benz eVito 129 eVito Tourer MWB FL2 Van (2024-2025),0
Mercedes-Benz eVito 112 eVito MWB Van FL2 Van (2024-2025),0
Mercedes-Benz eVito 112 eVito MWB Van FL2 Van (2024-2025),0
Mercedes-Benz eVito 112 eVito LWB Van FL2 Van (2024-2025),0
Mercedes-Benz eVito 129 eVito Tourer MWB FL2 Van (2024-2025),0
Mercedes-Benz eVito 112 eVito LWB Van FL2 Van (2024-2025),0
Audi Q8 e-tron 50 SUV (2024-2025),0
Audi SQ8 e-tron SUV (2024-2025),0
Audi SQ8 e-tron Sportback SUV (2024-2025),0
Mercedes-Benz EQV EQV 300 MWB FL2 Van (2024-2025),0
Mercedes-Benz EQV EQV 300 MWB FL2 Van (2024-2025),0
Smart #3 Premium Hatch Auto (2024-2025),0
Deepal E07 E07 AWD Wagon (2024-2025),0
Deepal E07 E07 RWD Wagon (2024-2025),0
MINI Cooper E Hatch Hatch (2024-2025),0
MINI Cooper SE Hatch Hatch (2024-2025),0
Mercedes-Benz EQS 500 4MATIC Sedan Auto (2023-2025),0
Ford Mach-E Premium 4P RWD SUV CVT (2023-2025),0
Ford Mach-E Premium 4P AWD SUV CVT (2023-2025),0
Ford Mach-E GT 4P AWD SUV CVT (2023-2025),0
Ford Mach-E Premium LFP AWD SUV CVT (2023-2025),0
GWM Ora Extended Range Hatch Auto (2023-2025),0
GWM Ora Standard Range Hatch Auto (2023-2025),0
GWM Ora Extended Range GT Hatch (2023-2025),0
MG MG4 64kWh EV RWD  Hatch Auto (2023-2025),0
MG MG4 64kWh EV RWD LUX  Hatch Auto (2023-2025),0
MG MG4 77kWh EV RWD Hatch Auto (2023-2025),0
MG MG4 64kWh EV 4WD Hatch Auto (2023-2025),0
MG MG4 51kWh EV RWD  Hatch Auto (2023-2025),0
Volvo C40 Recharge Hatch Auto (2023-2024),0
Volvo XC40 Recharge Hatch Auto (2023-2024),0
Rolls-Royce Spectre Coupe Coupe Auto (2023-2025),0
BMW 5 Series i5 eDrive40 Sedan Auto (2023-2025),0
BMW 5 Series i5 M60 xDrive Sedan Auto (2023-2025),0
BYD DOLPHIN Dynamic Hatch Auto (2023-2025),0
BYD DOLPHIN PERFORMANCE Hatch Auto (2023-2025),0
BYD SEAL Dynamic Sedan Auto (2023-2025),0
Kia EV9 GT-Line AWD SUV Auto (2023-2025),0
Kia EV9 Earth AWD 20" SUV Auto (2023-2025),0
Tesla Model 3 Long Range H5LDB Sedan (2023-2025),0
Rolls-Royce Spectre Black Badge Coupe Coupe Auto (2023-2025),0
Ford Mach-E Select LFP RWD Coupe CVT (2023-2025),0
Mercedes-Benz EQE 300 Sedan Auto (2023-2025),0
Mercedes-Benz EQE 350 4MATIC Sedan Auto (2023-2025),0
Mercedes-Benz EQE 53 AMG 4MATIC+ Sedan Auto (2023-2025),0
Cupra Born 77kWh 4 seat Hatch Auto (2023),0
Cupra Born Born 77kWh 5 seat Hatch Auto (2023),0
Lexus UX 300e Hatch Auto (2023-2025),0
Cupra Born 77kWh 4 seat (19" Alloys) Hatch Auto (2023-2025),0
Cupra Born 77kWh 4 seat (20" Alloys) Hatch Auto (2023-2025),0
Fiat 500e FWD 87 kW 42 kWh Hatch Auto (2023-2025),0
Cupra Born Born 77kWh 5 seat Hatch Auto (2023-2025),0
BMW X1 iX1 xDrive30 Wagon Auto (2023-2025),0
Mercedes-Benz EQE Class EQE 300 Sedan Auto (2023-2025),0
Mercedes-Benz EQE Class EQE 350 4MATIC Sedan Auto (2023-2025),0
Mercedes-Benz EQE Class EQE53 AMG 4MATIC+ Sedan Auto (2023-2025),0
Lexus RZ 450e Wagon Auto (2023-2025),0
Kia EV6 GT Wagon Auto (2023-2025),0
MG ZS EV 72kWh SUV Auto (2023-2025),0
Mercedes-Benz EQE SUV EQE 300 SUV  SUV Auto (2023-2025),0
Mercedes-Benz EQE SUV EQE 350 4MATIC SUV  SUV Auto (2023-2025),0
Mercedes-Benz EQE SUV EQE 500 4MATIC SUV SUV Auto (2023-2025),0
BMW 7 Series i7 M70 xDrive Sedan Auto (2023-2025),0
Volvo C40 Recharge Twin Hatch Auto (2023-2024),0
Volvo XC40 Recharge Twin Hatch Auto (2023-2024),0
Audi Q8 Q8 e-tron quattro SUV Auto (2023-2025),0
Audi Q8 Q8 e-tron quattro Sportback SUV Auto (2023-2025),0
Peugeot Partner  ePARTNER PRO LONG Van Auto (2023-2025),0
Mercedes-Benz EQE SUV AMG EQE 53 4MATIC+ SUV SUV Auto (2023-2025),0
Mercedes-Benz EQS SUV EQS 450 4MATIC SUV SUV Auto (2023-2025),0
Peugeot 2008 e2008 GT SUV Auto (2023-2025),0
Volvo EX40 Twin Motor Hatch Auto (2023-2025),0
Jaguar I-Pace I Pace 294kW Sedan Auto (2023-2025),0
Mercedes-Benz EQS 500 4MATIC Sedan Auto (2023-2025),0
Ford Mach-E Premium 4P RWD SUV CVT (2023-2025),0
Ford Mach-E Premium 4P AWD SUV CVT (2023-2025),0
Ford Mach-E GT 4P AWD SUV CVT (2023-2025),0
Ford Mach-E Premium LFP AWD SUV CVT (2023-2025),0
Tesla Model 3 RWD H6LRB Sedan (2023-2025),0
Hyundai IONIQ6 LRG Range 18 inch Sedan Auto (2022-2025),0
Hyundai IONIQ6 LRG Range 20 inch Sedan Auto (2022-2025),0
Tesla Model 3 RWD (E6LRB) Sedan (2022-2025),0
Tesla Model 3 LongRange (E5LDB) Sedan (2022-2025),0
Tesla Model 3 Performance (E5LDP) Sedan (2022-2025),0
Tesla Model Y RWD (SY6LR) SUV (2022-2025),0
Tesla Model Y Performance (PY5LD) SUV (2022-2025),0
